cpus,threadspercpu,percentile,time
1,1,1.000000,25
1,1,2.000000,25
1,1,3.000000,25
1,1,4.000000,25
1,1,5.000000,25
1,1,6.000000,25
1,1,7.000000,25
1,1,8.000000,25
1,1,9.000000,25
1,1,10.000000,25
1,1,11.000000,25
1,1,12.000000,25
1,1,13.000000,25
1,1,14.000000,25
1,1,15.000000,25
1,1,16.000000,25
1,1,17.000000,25
1,1,18.000000,25
1,1,19.000000,25
1,1,20.000000,25
1,1,21.000000,25
1,1,22.000000,25
1,1,23.000000,25
1,1,24.000000,25
1,1,25.000000,25
1,1,26.000000,25
1,1,27.000000,25
1,1,28.000000,25
1,1,29.000000,26
1,1,30.000000,26
1,1,31.000000,26
1,1,32.000000,26
1,1,33.000000,26
1,1,34.000000,26
1,1,35.000000,26
1,1,36.000000,26
1,1,37.000000,26
1,1,38.000000,26
1,1,39.000000,26
1,1,40.000000,26
1,1,41.000000,26
1,1,42.000000,26
1,1,43.000000,26
1,1,44.000000,27
1,1,45.000000,27
1,1,46.000000,27
1,1,47.000000,27
1,1,48.000000,27
1,1,49.000000,27
1,1,50.000000,27
1,1,51.000000,27
1,1,52.000000,27
1,1,53.000000,27
1,1,54.000000,27
1,1,55.000000,27
1,1,56.000000,27
1,1,57.000000,27
1,1,58.000000,27
1,1,59.000000,27
1,1,60.000000,27
1,1,61.000000,27
1,1,62.000000,27
1,1,63.000000,27
1,1,64.000000,27
1,1,65.000000,27
1,1,66.000000,27
1,1,67.000000,27
1,1,68.000000,27
1,1,69.000000,27
1,1,70.000000,27
1,1,71.000000,27
1,1,72.000000,27
1,1,73.000000,27
1,1,74.000000,28
1,1,75.000000,28
1,1,76.000000,29
1,1,77.000000,29
1,1,78.000000,29
1,1,79.000000,29
1,1,80.000000,29
1,1,81.000000,29
1,1,82.000000,29
1,1,83.000000,29
1,1,84.000000,29
1,1,85.000000,29
1,1,86.000000,29
1,1,87.000000,29
1,1,88.000000,30
1,1,89.000000,30
1,1,90.000000,30
1,1,91.000000,30
1,1,92.000000,30
1,1,93.000000,30
1,1,94.000000,30
1,1,95.000000,30
1,1,96.000000,30
1,1,97.000000,30
1,1,98.000000,30
1,1,99.000000,30
1,1,99.900000,31
1,1,99.990000,42
1,1,99.999000,9335
1,1,100.000000,9335
1,2,1.000000,22
1,2,2.000000,25
1,2,3.000000,25
1,2,4.000000,25
1,2,5.000000,25
1,2,6.000000,25
1,2,7.000000,25
1,2,8.000000,25
1,2,9.000000,25
1,2,10.000000,25
1,2,11.000000,25
1,2,12.000000,25
1,2,13.000000,25
1,2,14.000000,25
1,2,15.000000,25
1,2,16.000000,25
1,2,17.000000,25
1,2,18.000000,25
1,2,19.000000,25
1,2,20.000000,25
1,2,21.000000,25
1,2,22.000000,25
1,2,23.000000,25
1,2,24.000000,25
1,2,25.000000,25
1,2,26.000000,25
1,2,27.000000,25
1,2,28.000000,25
1,2,29.000000,26
1,2,30.000000,26
1,2,31.000000,26
1,2,32.000000,26
1,2,33.000000,26
1,2,34.000000,26
1,2,35.000000,26
1,2,36.000000,26
1,2,37.000000,26
1,2,38.000000,26
1,2,39.000000,26
1,2,40.000000,26
1,2,41.000000,26
1,2,42.000000,26
1,2,43.000000,26
1,2,44.000000,26
1,2,45.000000,26
1,2,46.000000,26
1,2,47.000000,26
1,2,48.000000,26
1,2,49.000000,27
1,2,50.000000,27
1,2,51.000000,27
1,2,52.000000,27
1,2,53.000000,27
1,2,54.000000,27
1,2,55.000000,27
1,2,56.000000,27
1,2,57.000000,27
1,2,58.000000,27
1,2,59.000000,27
1,2,60.000000,27
1,2,61.000000,27
1,2,62.000000,27
1,2,63.000000,27
1,2,64.000000,27
1,2,65.000000,27
1,2,66.000000,27
1,2,67.000000,27
1,2,68.000000,27
1,2,69.000000,27
1,2,70.000000,27
1,2,71.000000,27
1,2,72.000000,27
1,2,73.000000,27
1,2,74.000000,27
1,2,75.000000,27
1,2,76.000000,27
1,2,77.000000,27
1,2,78.000000,27
1,2,79.000000,27
1,2,80.000000,27
1,2,81.000000,27
1,2,82.000000,27
1,2,83.000000,27
1,2,84.000000,27
1,2,85.000000,27
1,2,86.000000,28
1,2,87.000000,28
1,2,88.000000,28
1,2,89.000000,28
1,2,90.000000,28
1,2,91.000000,28
1,2,92.000000,28
1,2,93.000000,28
1,2,94.000000,28
1,2,95.000000,28
1,2,96.000000,28
1,2,97.000000,29
1,2,98.000000,29
1,2,99.000000,30
1,2,99.900000,31
1,2,99.990000,3707
1,2,99.999000,13239
1,2,100.000000,13239
2,1,1.000000,25
2,1,2.000000,25
2,1,3.000000,25
2,1,4.000000,25
2,1,5.000000,25
2,1,6.000000,25
2,1,7.000000,25
2,1,8.000000,25
2,1,9.000000,25
2,1,10.000000,25
2,1,11.000000,25
2,1,12.000000,25
2,1,13.000000,25
2,1,14.000000,25
2,1,15.000000,25
2,1,16.000000,25
2,1,17.000000,25
2,1,18.000000,25
2,1,19.000000,25
2,1,20.000000,25
2,1,21.000000,25
2,1,22.000000,26
2,1,23.000000,26
2,1,24.000000,26
2,1,25.000000,26
2,1,26.000000,26
2,1,27.000000,26
2,1,28.000000,26
2,1,29.000000,26
2,1,30.000000,26
2,1,31.000000,26
2,1,32.000000,26
2,1,33.000000,26
2,1,34.000000,26
2,1,35.000000,27
2,1,36.000000,27
2,1,37.000000,27
2,1,38.000000,27
2,1,39.000000,27
2,1,40.000000,27
2,1,41.000000,27
2,1,42.000000,27
2,1,43.000000,27
2,1,44.000000,27
2,1,45.000000,27
2,1,46.000000,27
2,1,47.000000,27
2,1,48.000000,27
2,1,49.000000,27
2,1,50.000000,27
2,1,51.000000,27
2,1,52.000000,27
2,1,53.000000,27
2,1,54.000000,27
2,1,55.000000,27
2,1,56.000000,27
2,1,57.000000,27
2,1,58.000000,27
2,1,59.000000,27
2,1,60.000000,28
2,1,61.000000,28
2,1,62.000000,28
2,1,63.000000,28
2,1,64.000000,28
2,1,65.000000,29
2,1,66.000000,46
2,1,67.000000,48
2,1,68.000000,64
2,1,69.000000,65
2,1,70.000000,65
2,1,71.000000,65
2,1,72.000000,66
2,1,73.000000,66
2,1,74.000000,67
2,1,75.000000,67
2,1,76.000000,67
2,1,77.000000,109
2,1,78.000000,111
2,1,79.000000,113
2,1,80.000000,114
2,1,81.000000,118
2,1,82.000000,139
2,1,83.000000,146
2,1,84.000000,148
2,1,85.000000,479
2,1,86.000000,491
2,1,87.000000,508
2,1,88.000000,518
2,1,89.000000,522
2,1,90.000000,527
2,1,91.000000,581
2,1,92.000000,603
2,1,93.000000,622
2,1,94.000000,686
2,1,95.000000,932
2,1,96.000000,980
2,1,97.000000,988
2,1,98.000000,1331
2,1,99.000000,1388
2,1,99.900000,1445
2,1,99.990000,11007
2,1,99.999000,21743
2,1,100.000000,21743
2,2,1.000000,25
2,2,2.000000,25
2,2,3.000000,25
2,2,4.000000,25
2,2,5.000000,25
2,2,6.000000,25
2,2,7.000000,25
2,2,8.000000,25
2,2,9.000000,25
2,2,10.000000,25
2,2,11.000000,25
2,2,12.000000,25
2,2,13.000000,25
2,2,14.000000,25
2,2,15.000000,25
2,2,16.000000,26
2,2,17.000000,26
2,2,18.000000,26
2,2,19.000000,26
2,2,20.000000,26
2,2,21.000000,26
2,2,22.000000,26
2,2,23.000000,26
2,2,24.000000,26
2,2,25.000000,26
2,2,26.000000,26
2,2,27.000000,27
2,2,28.000000,27
2,2,29.000000,27
2,2,30.000000,27
2,2,31.000000,27
2,2,32.000000,27
2,2,33.000000,27
2,2,34.000000,27
2,2,35.000000,27
2,2,36.000000,27
2,2,37.000000,27
2,2,38.000000,27
2,2,39.000000,27
2,2,40.000000,27
2,2,41.000000,27
2,2,42.000000,27
2,2,43.000000,27
2,2,44.000000,27
2,2,45.000000,27
2,2,46.000000,28
2,2,47.000000,28
2,2,48.000000,28
2,2,49.000000,28
2,2,50.000000,30
2,2,51.000000,47
2,2,52.000000,48
2,2,53.000000,48
2,2,54.000000,64
2,2,55.000000,64
2,2,56.000000,65
2,2,57.000000,65
2,2,58.000000,65
2,2,59.000000,66
2,2,60.000000,66
2,2,61.000000,66
2,2,62.000000,66
2,2,63.000000,67
2,2,64.000000,67
2,2,65.000000,67
2,2,66.000000,89
2,2,67.000000,109
2,2,68.000000,110
2,2,69.000000,111
2,2,70.000000,112
2,2,71.000000,113
2,2,72.000000,115
2,2,73.000000,121
2,2,74.000000,139
2,2,75.000000,144
2,2,76.000000,147
2,2,77.000000,149
2,2,78.000000,474
2,2,79.000000,485
2,2,80.000000,494
2,2,81.000000,501
2,2,82.000000,513
2,2,83.000000,519
2,2,84.000000,522
2,2,85.000000,524
2,2,86.000000,550
2,2,87.000000,580
2,2,88.000000,592
2,2,89.000000,603
2,2,90.000000,613
2,2,91.000000,675
2,2,92.000000,900
2,2,93.000000,933
2,2,94.000000,978
2,2,95.000000,984
2,2,96.000000,998
2,2,97.000000,1334
2,2,98.000000,1372
2,2,99.000000,1407
2,2,99.900000,1446
2,2,99.990000,10807
2,2,99.999000,15607
2,2,100.000000,15607
3,1,1.000000,21
3,1,2.000000,21
3,1,3.000000,22
3,1,4.000000,22
3,1,5.000000,22
3,1,6.000000,22
3,1,7.000000,22
3,1,8.000000,22
3,1,9.000000,23
3,1,10.000000,25
3,1,11.000000,25
3,1,12.000000,25
3,1,13.000000,25
3,1,14.000000,25
3,1,15.000000,25
3,1,16.000000,25
3,1,17.000000,26
3,1,18.000000,26
3,1,19.000000,26
3,1,20.000000,26
3,1,21.000000,27
3,1,22.000000,27
3,1,23.000000,27
3,1,24.000000,27
3,1,25.000000,27
3,1,26.000000,27
3,1,27.000000,27
3,1,28.000000,27
3,1,29.000000,27
3,1,30.000000,28
3,1,31.000000,29
3,1,32.000000,29
3,1,33.000000,29
3,1,34.000000,29
3,1,35.000000,29
3,1,36.000000,29
3,1,37.000000,29
3,1,38.000000,29
3,1,39.000000,29
3,1,40.000000,29
3,1,41.000000,29
3,1,42.000000,29
3,1,43.000000,29
3,1,44.000000,30
3,1,45.000000,30
3,1,46.000000,30
3,1,47.000000,30
3,1,48.000000,30
3,1,49.000000,30
3,1,50.000000,40
3,1,51.000000,41
3,1,52.000000,42
3,1,53.000000,43
3,1,54.000000,45
3,1,55.000000,50
3,1,56.000000,51
3,1,57.000000,51
3,1,58.000000,52
3,1,59.000000,57
3,1,60.000000,59
3,1,61.000000,60
3,1,62.000000,60
3,1,63.000000,63
3,1,64.000000,65
3,1,65.000000,67
3,1,66.000000,68
3,1,67.000000,68
3,1,68.000000,72
3,1,69.000000,72
3,1,70.000000,73
3,1,71.000000,77
