cpus,threadspercpu,percentile,time
1,1,1.000000,434
1,1,2.000000,434
1,1,3.000000,434
1,1,4.000000,435
1,1,5.000000,435
1,1,6.000000,435
1,1,7.000000,435
1,1,8.000000,436
1,1,9.000000,436
1,1,10.000000,436
1,1,11.000000,436
1,1,12.000000,436
1,1,13.000000,436
1,1,14.000000,436
1,1,15.000000,436
1,1,16.000000,436
1,1,17.000000,437
1,1,18.000000,437
1,1,19.000000,437
1,1,20.000000,437
1,1,21.000000,437
1,1,22.000000,437
1,1,23.000000,437
1,1,24.000000,437
1,1,25.000000,437
1,1,26.000000,437
1,1,27.000000,437
1,1,28.000000,437
1,1,29.000000,437
1,1,30.000000,438
1,1,31.000000,438
1,1,32.000000,438
1,1,33.000000,438
1,1,34.000000,438
1,1,35.000000,438
1,1,36.000000,438
1,1,37.000000,438
1,1,38.000000,438
1,1,39.000000,438
1,1,40.000000,438
1,1,41.000000,438
1,1,42.000000,438
1,1,43.000000,438
1,1,44.000000,438
1,1,45.000000,438
1,1,46.000000,439
1,1,47.000000,439
1,1,48.000000,439
1,1,49.000000,439
1,1,50.000000,439
1,1,51.000000,439
1,1,52.000000,439
1,1,53.000000,439
1,1,54.000000,439
1,1,55.000000,439
1,1,56.000000,439
1,1,57.000000,439
1,1,58.000000,439
1,1,59.000000,439
1,1,60.000000,439
1,1,61.000000,439
1,1,62.000000,439
1,1,63.000000,439
1,1,64.000000,440
1,1,65.000000,440
1,1,66.000000,440
1,1,67.000000,440
1,1,68.000000,440
1,1,69.000000,440
1,1,70.000000,440
1,1,71.000000,440
1,1,72.000000,440
1,1,73.000000,440
1,1,74.000000,440
1,1,75.000000,440
1,1,76.000000,440
1,1,77.000000,440
1,1,78.000000,440
1,1,79.000000,440
1,1,80.000000,441
1,1,81.000000,441
1,1,82.000000,441
1,1,83.000000,441
1,1,84.000000,441
1,1,85.000000,441
1,1,86.000000,441
1,1,87.000000,441
1,1,88.000000,441
1,1,89.000000,442
1,1,90.000000,442
1,1,91.000000,442
1,1,92.000000,443
1,1,93.000000,444
1,1,94.000000,448
1,1,95.000000,452
1,1,96.000000,464
1,1,97.000000,485
1,1,98.000000,487
1,1,99.000000,488
1,1,99.900000,1734
1,1,99.990000,11679
1,1,99.999000,13615
1,1,100.000000,13615
1,2,1.000000,432
1,2,2.000000,433
1,2,3.000000,434
1,2,4.000000,434
1,2,5.000000,434
1,2,6.000000,435
1,2,7.000000,435
1,2,8.000000,435
1,2,9.000000,435
1,2,10.000000,436
1,2,11.000000,436
1,2,12.000000,436
1,2,13.000000,436
1,2,14.000000,436
1,2,15.000000,437
1,2,16.000000,437
1,2,17.000000,437
1,2,18.000000,437
1,2,19.000000,437
1,2,20.000000,438
1,2,21.000000,438
1,2,22.000000,438
1,2,23.000000,438
1,2,24.000000,439
1,2,25.000000,439
1,2,26.000000,439
1,2,27.000000,439
1,2,28.000000,440
1,2,29.000000,440
1,2,30.000000,440
1,2,31.000000,441
1,2,32.000000,447
1,2,33.000000,1267
1,2,34.000000,1270
1,2,35.000000,1271
1,2,36.000000,1271
1,2,37.000000,1272
1,2,38.000000,1273
1,2,39.000000,1273
1,2,40.000000,1274
1,2,41.000000,1274
1,2,42.000000,1274
1,2,43.000000,1275
1,2,44.000000,1275
1,2,45.000000,1275
1,2,46.000000,1276
1,2,47.000000,1276
1,2,48.000000,1276
1,2,49.000000,1277
1,2,50.000000,1277
1,2,51.000000,1277
1,2,52.000000,1277
1,2,53.000000,1278
1,2,54.000000,1278
1,2,55.000000,1278
1,2,56.000000,1278
1,2,57.000000,1279
1,2,58.000000,1279
1,2,59.000000,1279
1,2,60.000000,1279
1,2,61.000000,1280
1,2,62.000000,1280
1,2,63.000000,1280
1,2,64.000000,1280
1,2,65.000000,1280
1,2,66.000000,1281
1,2,67.000000,1281
1,2,68.000000,1281
1,2,69.000000,1281
1,2,70.000000,1282
1,2,71.000000,1282
