cpus,threadspercpu,percentile,time
1,1,1.000000,19
1,1,2.000000,19
1,1,3.000000,19
1,1,4.000000,19
1,1,5.000000,19
1,1,6.000000,19
1,1,7.000000,19
1,1,8.000000,20
1,1,9.000000,20
1,1,10.000000,20
1,1,11.000000,20
1,1,12.000000,20
1,1,13.000000,20
1,1,14.000000,20
1,1,15.000000,20
1,1,16.000000,20
1,1,17.000000,20
1,1,18.000000,20
1,1,19.000000,20
1,1,20.000000,20
1,1,21.000000,20
1,1,22.000000,20
1,1,23.000000,20
1,1,24.000000,20
1,1,25.000000,20
1,1,26.000000,20
1,1,27.000000,20
1,1,28.000000,20
1,1,29.000000,20
1,1,30.000000,20
1,1,31.000000,20
1,1,32.000000,20
1,1,33.000000,20
1,1,34.000000,20
1,1,35.000000,20
1,1,36.000000,20
1,1,37.000000,20
1,1,38.000000,20
1,1,39.000000,20
1,1,40.000000,20
1,1,41.000000,20
1,1,42.000000,20
1,1,43.000000,20
1,1,44.000000,20
1,1,45.000000,20
1,1,46.000000,20
1,1,47.000000,20
1,1,48.000000,20
1,1,49.000000,20
1,1,50.000000,20
1,1,51.000000,20
1,1,52.000000,20
1,1,53.000000,20
1,1,54.000000,20
1,1,55.000000,20
1,1,56.000000,20
1,1,57.000000,20
1,1,58.000000,20
1,1,59.000000,20
1,1,60.000000,20
1,1,61.000000,20
1,1,62.000000,21
1,1,63.000000,21
1,1,64.000000,21
1,1,65.000000,21
1,1,66.000000,21
1,1,67.000000,21
1,1,68.000000,21
1,1,69.000000,21
1,1,70.000000,21
1,1,71.000000,21
1,1,72.000000,21
1,1,73.000000,21
1,1,74.000000,21
1,1,75.000000,21
1,1,76.000000,21
1,1,77.000000,21
1,1,78.000000,21
1,1,79.000000,21
1,1,80.000000,21
1,1,81.000000,21
1,1,82.000000,21
1,1,83.000000,21
1,1,84.000000,21
1,1,85.000000,21
1,1,86.000000,21
1,1,87.000000,21
1,1,88.000000,21
1,1,89.000000,21
1,1,90.000000,21
1,1,91.000000,21
1,1,92.000000,21
1,1,93.000000,21
1,1,94.000000,21
1,1,95.000000,21
1,1,96.000000,21
1,1,97.000000,22
1,1,98.000000,22
1,1,99.000000,22
1,1,99.900000,22
1,1,99.990000,22
1,1,99.999000,193
1,1,100.000000,193
1,2,1.000000,19
1,2,2.000000,19
1,2,3.000000,19
1,2,4.000000,19
1,2,5.000000,19
1,2,6.000000,19
1,2,7.000000,19
1,2,8.000000,20
1,2,9.000000,20
1,2,10.000000,20
1,2,11.000000,20
1,2,12.000000,20
1,2,13.000000,20
1,2,14.000000,20
1,2,15.000000,20
1,2,16.000000,20
1,2,17.000000,20
1,2,18.000000,20
1,2,19.000000,20
1,2,20.000000,20
1,2,21.000000,20
1,2,22.000000,20
1,2,23.000000,20
1,2,24.000000,20
1,2,25.000000,20
1,2,26.000000,20
1,2,27.000000,20
1,2,28.000000,20
1,2,29.000000,20
1,2,30.000000,20
1,2,31.000000,20
1,2,32.000000,20
1,2,33.000000,20
1,2,34.000000,20
1,2,35.000000,20
1,2,36.000000,20
1,2,37.000000,20
1,2,38.000000,20
1,2,39.000000,20
1,2,40.000000,20
1,2,41.000000,20
1,2,42.000000,20
1,2,43.000000,20
1,2,44.000000,20
1,2,45.000000,20
1,2,46.000000,20
1,2,47.000000,20
1,2,48.000000,20
1,2,49.000000,20
1,2,50.000000,20
1,2,51.000000,20
1,2,52.000000,20
1,2,53.000000,20
1,2,54.000000,20
1,2,55.000000,20
1,2,56.000000,20
1,2,57.000000,20
1,2,58.000000,20
1,2,59.000000,20
1,2,60.000000,20
1,2,61.000000,20
1,2,62.000000,21
1,2,63.000000,21
1,2,64.000000,21
1,2,65.000000,21
1,2,66.000000,21
1,2,67.000000,21
1,2,68.000000,21
1,2,69.000000,21
1,2,70.000000,21
1,2,71.000000,21
1,2,72.000000,21
1,2,73.000000,21
1,2,74.000000,21
1,2,75.000000,21
1,2,76.000000,21
1,2,77.000000,21
1,2,78.000000,21
1,2,79.000000,21
1,2,80.000000,21
1,2,81.000000,21
1,2,82.000000,21
1,2,83.000000,21
1,2,84.000000,21
1,2,85.000000,21
1,2,86.000000,21
1,2,87.000000,21
1,2,88.000000,21
1,2,89.000000,21
1,2,90.000000,21
1,2,91.000000,21
1,2,92.000000,21
1,2,93.000000,21
1,2,94.000000,21
1,2,95.000000,21
1,2,96.000000,21
1,2,97.000000,22
1,2,98.000000,22
1,2,99.000000,22
1,2,99.900000,22
1,2,99.990000,23
1,2,99.999000,52
1,2,100.000000,52
2,1,1.000000,19
2,1,2.000000,19
2,1,3.000000,19
2,1,4.000000,19
2,1,5.000000,20
2,1,6.000000,20
2,1,7.000000,20
2,1,8.000000,20
2,1,9.000000,20
2,1,10.000000,20
2,1,11.000000,20
2,1,12.000000,20
2,1,13.000000,20
2,1,14.000000,20
2,1,15.000000,20
2,1,16.000000,20
2,1,17.000000,20
2,1,18.000000,20
2,1,19.000000,20
2,1,20.000000,20
2,1,21.000000,20
2,1,22.000000,20
2,1,23.000000,20
2,1,24.000000,20
2,1,25.000000,20
2,1,26.000000,20
2,1,27.000000,20
2,1,28.000000,20
2,1,29.000000,20
2,1,30.000000,20
2,1,31.000000,20
2,1,32.000000,20
2,1,33.000000,20
2,1,34.000000,20
2,1,35.000000,20
2,1,36.000000,20
2,1,37.000000,20
2,1,38.000000,20
2,1,39.000000,20
2,1,40.000000,20
2,1,41.000000,20
2,1,42.000000,20
2,1,43.000000,20
2,1,44.000000,21
2,1,45.000000,21
2,1,46.000000,21
2,1,47.000000,21
2,1,48.000000,21
2,1,49.000000,21
2,1,50.000000,21
2,1,51.000000,21
2,1,52.000000,21
2,1,53.000000,21
2,1,54.000000,21
2,1,55.000000,21
2,1,56.000000,21
2,1,57.000000,21
2,1,58.000000,21
2,1,59.000000,21
2,1,60.000000,21
2,1,61.000000,21
2,1,62.000000,21
2,1,63.000000,21
2,1,64.000000,21
2,1,65.000000,21
2,1,66.000000,21
2,1,67.000000,21
2,1,68.000000,21
2,1,69.000000,21
2,1,70.000000,21
2,1,71.000000,21
2,1,72.000000,21
2,1,73.000000,21
2,1,74.000000,22
2,1,75.000000,22
2,1,76.000000,22
2,1,77.000000,22
2,1,78.000000,22
2,1,79.000000,23
2,1,80.000000,28
2,1,81.000000,40
2,1,82.000000,41
2,1,83.000000,41
2,1,84.000000,42
2,1,85.000000,42
2,1,86.000000,45
2,1,87.000000,47
2,1,88.000000,47
2,1,89.000000,48
2,1,90.000000,48
2,1,91.000000,49
2,1,92.000000,49
2,1,93.000000,50
2,1,94.000000,51
2,1,95.000000,148
2,1,96.000000,209
2,1,97.000000,213
2,1,98.000000,285
2,1,99.000000,508
2,1,99.900000,1282
2,1,99.990000,2239
2,1,99.999000,27823
2,1,100.000000,27823
2,2,1.000000,19
2,2,2.000000,19
2,2,3.000000,19
2,2,4.000000,19
2,2,5.000000,20
2,2,6.000000,20
2,2,7.000000,20
2,2,8.000000,20
2,2,9.000000,20
2,2,10.000000,20
2,2,11.000000,20
2,2,12.000000,20
2,2,13.000000,20
2,2,14.000000,20
2,2,15.000000,20
2,2,16.000000,20
2,2,17.000000,20
2,2,18.000000,20
2,2,19.000000,20
2,2,20.000000,20
2,2,21.000000,20
2,2,22.000000,20
2,2,23.000000,20
2,2,24.000000,20
2,2,25.000000,20
2,2,26.000000,20
2,2,27.000000,20
2,2,28.000000,20
2,2,29.000000,20
2,2,30.000000,20
2,2,31.000000,20
2,2,32.000000,20
2,2,33.000000,20
2,2,34.000000,20
2,2,35.000000,21
2,2,36.000000,21
2,2,37.000000,21
2,2,38.000000,21
2,2,39.000000,21
2,2,40.000000,21
2,2,41.000000,21
2,2,42.000000,21
2,2,43.000000,21
2,2,44.000000,21
2,2,45.000000,21
2,2,46.000000,21
2,2,47.000000,21
2,2,48.000000,21
2,2,49.000000,21
2,2,50.000000,21
2,2,51.000000,21
2,2,52.000000,21
2,2,53.000000,21
2,2,54.000000,21
2,2,55.000000,21
2,2,56.000000,22
2,2,57.000000,22
2,2,58.000000,40
2,2,59.000000,41
2,2,60.000000,41
2,2,61.000000,41
2,2,62.000000,41
2,2,63.000000,41
2,2,64.000000,42
2,2,65.000000,42
2,2,66.000000,42
2,2,67.000000,42
2,2,68.000000,42
2,2,69.000000,43
2,2,70.000000,44
2,2,71.000000,45
2,2,72.000000,46
2,2,73.000000,46
2,2,74.000000,47
2,2,75.000000,47
2,2,76.000000,47
2,2,77.000000,47
2,2,78.000000,48
2,2,79.000000,48
2,2,80.000000,48
2,2,81.000000,48
2,2,82.000000,48
2,2,83.000000,48
2,2,84.000000,49
2,2,85.000000,49
2,2,86.000000,49
2,2,87.000000,50
2,2,88.000000,50
2,2,89.000000,51
2,2,90.000000,143
2,2,91.000000,147
2,2,92.000000,148
2,2,93.000000,151
2,2,94.000000,211
2,2,95.000000,216
2,2,96.000000,276
2,2,97.000000,341
2,2,98.000000,591
2,2,99.000000,1091
2,2,99.900000,1418
2,2,99.990000,1946
2,2,99.999000,10575
2,2,100.000000,10575
3,1,1.000000,20
3,1,2.000000,20
3,1,3.000000,20
3,1,4.000000,20
3,1,5.000000,21
3,1,6.000000,21
3,1,7.000000,21
3,1,8.000000,34
3,1,9.000000,34
3,1,10.000000,34
3,1,11.000000,34
3,1,12.000000,34
3,1,13.000000,35
3,1,14.000000,35
3,1,15.000000,35
3,1,16.000000,35
3,1,17.000000,35
3,1,18.000000,35
3,1,19.000000,35
3,1,20.000000,35
3,1,21.000000,35
3,1,22.000000,35
3,1,23.000000,35
3,1,24.000000,35
3,1,25.000000,35
3,1,26.000000,35
3,1,27.000000,36
3,1,28.000000,36
3,1,29.000000,36
3,1,30.000000,36
3,1,31.000000,36
3,1,32.000000,36
3,1,33.000000,36
3,1,34.000000,36
3,1,35.000000,36
3,1,36.000000,36
3,1,37.000000,37
3,1,38.000000,37
3,1,39.000000,37
3,1,40.000000,38
3,1,41.000000,38
3,1,42.000000,38
3,1,43.000000,39
3,1,44.000000,40
3,1,45.000000,41
3,1,46.000000,41
3,1,47.000000,42
3,1,48.000000,43
3,1,49.000000,43
3,1,50.000000,45
3,1,51.000000,47
3,1,52.000000,48
3,1,53.000000,51
3,1,54.000000,52
3,1,55.000000,53
3,1,56.000000,54
3,1,57.000000,54
3,1,58.000000,57
3,1,59.000000,62
3,1,60.000000,67
3,1,61.000000,72
3,1,62.000000,74
3,1,63.000000,134
3,1,64.000000,141
3,1,65.000000,147
3,1,66.000000,154
3,1,67.000000,157
3,1,68.000000,160
3,1,69.000000,164
3,1,70.000000,169
3,1,71.000000,176
3,1,72.000000,183
3,1,73.000000,187
3,1,74.000000,191
3,1,75.000000,196
3,1,76.000000,201
3,1,77.000000,206
3,1,78.000000,213
3,1,79.000000,222
3,1,80.000000,227
3,1,81.000000,235
3,1,82.000000,243
3,1,83.000000,254
3,1,84.000000,263
3,1,85.000000,272
3,1,86.000000,281
3,1,87.000000,296
3,1,88.000000,311
3,1,89.000000,328
3,1,90.000000,344
3,1,91.000000,364
3,1,92.000000,390
3,1,93.000000,411
3,1,94.000000,439
3,1,95.000000,473
3,1,96.000000,514
3,1,97.000000,564
3,1,98.000000,640
3,1,99.000000,773
3,1,99.900000,1236
3,1,99.990000,2075
3,1,99.999000,5707
3,1,100.000000,5707
3,2,1.000000,34
3,2,2.000000,34
3,2,3.000000,34
3,2,4.000000,34
3,2,5.000000,34
3,2,6.000000,34
3,2,7.000000,35
3,2,8.000000,35
3,2,9.000000,35
3,2,10.000000,35
3,2,11.000000,35
3,2,12.000000,35
3,2,13.000000,35
3,2,14.000000,35
3,2,15.000000,35
3,2,16.000000,35
3,2,17.000000,35
3,2,18.000000,35
3,2,19.000000,35
3,2,20.000000,35
3,2,21.000000,35
3,2,22.000000,36
3,2,23.000000,36
3,2,24.000000,36
3,2,25.000000,36
3,2,26.000000,36
3,2,27.000000,36
3,2,28.000000,36
3,2,29.000000,36
3,2,30.000000,36
3,2,31.000000,36
