cpus,threadspercpu,percentile,time
1,1,1.000000,254
1,1,2.000000,255
1,1,3.000000,255
1,1,4.000000,255
1,1,5.000000,255
1,1,6.000000,255
1,1,7.000000,255
1,1,8.000000,256
1,1,9.000000,256
1,1,10.000000,256
1,1,11.000000,256
1,1,12.000000,256
1,1,13.000000,256
1,1,14.000000,256
1,1,15.000000,256
1,1,16.000000,256
1,1,17.000000,256
1,1,18.000000,256
1,1,19.000000,257
1,1,20.000000,257
1,1,21.000000,257
1,1,22.000000,257
1,1,23.000000,257
1,1,24.000000,257
1,1,25.000000,257
1,1,26.000000,257
1,1,27.000000,257
1,1,28.000000,257
1,1,29.000000,257
1,1,30.000000,257
1,1,31.000000,257
1,1,32.000000,257
1,1,33.000000,257
1,1,34.000000,257
1,1,35.000000,257
1,1,36.000000,257
1,1,37.000000,257
1,1,38.000000,258
1,1,39.000000,258
1,1,40.000000,258
1,1,41.000000,258
1,1,42.000000,258
1,1,43.000000,258
1,1,44.000000,258
1,1,45.000000,258
1,1,46.000000,258
1,1,47.000000,258
1,1,48.000000,258
1,1,49.000000,258
1,1,50.000000,258
1,1,51.000000,258
1,1,52.000000,258
1,1,53.000000,258
1,1,54.000000,258
1,1,55.000000,258
1,1,56.000000,258
1,1,57.000000,258
1,1,58.000000,258
1,1,59.000000,258
1,1,60.000000,258
1,1,61.000000,258
1,1,62.000000,259
1,1,63.000000,259
1,1,64.000000,259
1,1,65.000000,259
1,1,66.000000,259
1,1,67.000000,259
1,1,68.000000,259
1,1,69.000000,259
1,1,70.000000,259
1,1,71.000000,259
1,1,72.000000,259
1,1,73.000000,259
1,1,74.000000,259
1,1,75.000000,259
1,1,76.000000,259
1,1,77.000000,259
1,1,78.000000,259
1,1,79.000000,259
1,1,80.000000,259
1,1,81.000000,260
1,1,82.000000,260
1,1,83.000000,260
1,1,84.000000,260
1,1,85.000000,260
1,1,86.000000,260
1,1,87.000000,260
1,1,88.000000,260
1,1,89.000000,260
1,1,90.000000,260
1,1,91.000000,260
1,1,92.000000,260
1,1,93.000000,261
1,1,94.000000,261
1,1,95.000000,261
1,1,96.000000,261
1,1,97.000000,261
1,1,98.000000,262
1,1,99.000000,281
1,1,99.900000,348
1,1,99.990000,17791
1,1,99.999000,50911
1,1,100.000000,50911
1,2,1.000000,252
1,2,2.000000,253
1,2,3.000000,253
1,2,4.000000,253
1,2,5.000000,254
1,2,6.000000,254
1,2,7.000000,254
1,2,8.000000,254
1,2,9.000000,254
1,2,10.000000,254
1,2,11.000000,254
1,2,12.000000,254
1,2,13.000000,255
1,2,14.000000,255
1,2,15.000000,255
1,2,16.000000,255
1,2,17.000000,255
1,2,18.000000,255
1,2,19.000000,255
1,2,20.000000,255
1,2,21.000000,255
1,2,22.000000,255
1,2,23.000000,255
1,2,24.000000,255
1,2,25.000000,256
1,2,26.000000,256
1,2,27.000000,256
1,2,28.000000,256
1,2,29.000000,256
1,2,30.000000,256
1,2,31.000000,256
1,2,32.000000,256
1,2,33.000000,256
1,2,34.000000,256
1,2,35.000000,256
1,2,36.000000,257
1,2,37.000000,257
1,2,38.000000,257
1,2,39.000000,257
1,2,40.000000,257
1,2,41.000000,257
1,2,42.000000,257
1,2,43.000000,257
1,2,44.000000,258
1,2,45.000000,258
1,2,46.000000,258
1,2,47.000000,258
1,2,48.000000,258
1,2,49.000000,259
1,2,50.000000,259
1,2,51.000000,259
1,2,52.000000,260
1,2,53.000000,279
1,2,54.000000,872
1,2,55.000000,875
1,2,56.000000,876
1,2,57.000000,878
1,2,58.000000,878
1,2,59.000000,879
1,2,60.000000,880
1,2,61.000000,880
1,2,62.000000,881
1,2,63.000000,881
1,2,64.000000,882
1,2,65.000000,882
1,2,66.000000,883
1,2,67.000000,883
1,2,68.000000,884
1,2,69.000000,884
1,2,70.000000,884
1,2,71.000000,885
1,2,72.000000,885
1,2,73.000000,885
1,2,74.000000,886
1,2,75.000000,886
1,2,76.000000,887
1,2,77.000000,887
1,2,78.000000,887
1,2,79.000000,888
1,2,80.000000,888
1,2,81.000000,889
1,2,82.000000,889
1,2,83.000000,889
1,2,84.000000,890
1,2,85.000000,890
1,2,86.000000,891
1,2,87.000000,891
1,2,88.000000,892
1,2,89.000000,892
1,2,90.000000,893
1,2,91.000000,894
1,2,92.000000,895
1,2,93.000000,895
1,2,94.000000,896
1,2,95.000000,897
1,2,96.000000,898
1,2,97.000000,899
1,2,98.000000,901
1,2,99.000000,917
1,2,99.900000,1228
1,2,99.990000,18399
1,2,99.999000,38047
1,2,100.000000,38047
2,1,1.000000,247
2,1,2.000000,247
2,1,3.000000,248
2,1,4.000000,248
2,1,5.000000,248
2,1,6.000000,248
2,1,7.000000,248
2,1,8.000000,248
2,1,9.000000,248
2,1,10.000000,248
2,1,11.000000,249
2,1,12.000000,249
2,1,13.000000,249
2,1,14.000000,249
2,1,15.000000,249
2,1,16.000000,249
2,1,17.000000,249
2,1,18.000000,249
2,1,19.000000,249
2,1,20.000000,249
2,1,21.000000,249
2,1,22.000000,249
2,1,23.000000,249
2,1,24.000000,249
2,1,25.000000,249
2,1,26.000000,250
2,1,27.000000,250
2,1,28.000000,250
2,1,29.000000,250
2,1,30.000000,250
2,1,31.000000,250
2,1,32.000000,250
2,1,33.000000,250
2,1,34.000000,250
2,1,35.000000,250
2,1,36.000000,250
2,1,37.000000,250
2,1,38.000000,250
2,1,39.000000,250
2,1,40.000000,250
2,1,41.000000,250
2,1,42.000000,250
2,1,43.000000,250
2,1,44.000000,250
2,1,45.000000,250
2,1,46.000000,251
2,1,47.000000,251
2,1,48.000000,251
2,1,49.000000,251
2,1,50.000000,251
2,1,51.000000,251
2,1,52.000000,251
2,1,53.000000,251
2,1,54.000000,251
2,1,55.000000,251
2,1,56.000000,251
2,1,57.000000,251
2,1,58.000000,251
2,1,59.000000,251
2,1,60.000000,251
2,1,61.000000,251
2,1,62.000000,251
2,1,63.000000,251
2,1,64.000000,251
2,1,65.000000,251
2,1,66.000000,251
2,1,67.000000,252
2,1,68.000000,252
2,1,69.000000,252
2,1,70.000000,252
2,1,71.000000,252
2,1,72.000000,252
2,1,73.000000,252
2,1,74.000000,252
2,1,75.000000,252
2,1,76.000000,252
2,1,77.000000,252
2,1,78.000000,252
2,1,79.000000,252
2,1,80.000000,252
2,1,81.000000,252
2,1,82.000000,252
2,1,83.000000,253
2,1,84.000000,253
2,1,85.000000,253
2,1,86.000000,253
2,1,87.000000,253
2,1,88.000000,253
2,1,89.000000,254
2,1,90.000000,254
2,1,91.000000,255
2,1,92.000000,256
2,1,93.000000,258
2,1,94.000000,259
2,1,95.000000,261
2,1,96.000000,262
2,1,97.000000,263
2,1,98.000000,265
2,1,99.000000,269
2,1,99.900000,282
2,1,99.990000,8943
2,1,99.999000,18783
2,1,100.000000,18783
2,2,1.000000,250
2,2,2.000000,250
2,2,3.000000,251
2,2,4.000000,251
2,2,5.000000,251
2,2,6.000000,251
2,2,7.000000,251
2,2,8.000000,251
2,2,9.000000,252
2,2,10.000000,252
2,2,11.000000,252
2,2,12.000000,252
2,2,13.000000,252
2,2,14.000000,252
2,2,15.000000,252
2,2,16.000000,252
2,2,17.000000,252
2,2,18.000000,252
2,2,19.000000,253
2,2,20.000000,253
2,2,21.000000,253
2,2,22.000000,253
2,2,23.000000,253
2,2,24.000000,253
2,2,25.000000,253
2,2,26.000000,253
2,2,27.000000,253
2,2,28.000000,254
2,2,29.000000,254
2,2,30.000000,254
2,2,31.000000,254
2,2,32.000000,254
2,2,33.000000,254
2,2,34.000000,254
2,2,35.000000,254
2,2,36.000000,255
2,2,37.000000,255
2,2,38.000000,255
2,2,39.000000,255
2,2,40.000000,255
2,2,41.000000,255
2,2,42.000000,255
2,2,43.000000,256
2,2,44.000000,256
2,2,45.000000,256
2,2,46.000000,256
2,2,47.000000,256
2,2,48.000000,257
2,2,49.000000,257
2,2,50.000000,258
2,2,51.000000,258
2,2,52.000000,262
2,2,53.000000,266
2,2,54.000000,281
2,2,55.000000,867
2,2,56.000000,870
2,2,57.000000,872
2,2,58.000000,874
2,2,59.000000,875
2,2,60.000000,876
2,2,61.000000,877
2,2,62.000000,878
2,2,63.000000,879
2,2,64.000000,879
2,2,65.000000,880
2,2,66.000000,880
2,2,67.000000,881
2,2,68.000000,881
2,2,69.000000,882
2,2,70.000000,882
2,2,71.000000,882
2,2,72.000000,883
2,2,73.000000,883
2,2,74.000000,884
2,2,75.000000,884
2,2,76.000000,884
2,2,77.000000,885
2,2,78.000000,885
2,2,79.000000,886
2,2,80.000000,886
2,2,81.000000,886
2,2,82.000000,887
2,2,83.000000,887
2,2,84.000000,888
2,2,85.000000,888
2,2,86.000000,889
2,2,87.000000,889
2,2,88.000000,890
2,2,89.000000,890
2,2,90.000000,891
2,2,91.000000,891
2,2,92.000000,892
2,2,93.000000,893
2,2,94.000000,894
2,2,95.000000,895
2,2,96.000000,896
2,2,97.000000,897
2,2,98.000000,900
2,2,99.000000,906
2,2,99.900000,981
2,2,99.990000,18911
2,2,99.999000,19759
2,2,100.000000,19759
3,1,1.000000,274
3,1,2.000000,275
3,1,3.000000,275
3,1,4.000000,275
3,1,5.000000,276
3,1,6.000000,276
